,SHIPMENT_NUMBER,Record Timestamp,Delay (minutes)
80,SEZHUK-231007-250907,2023-10-18 11:33:00,11034.197999983331
81,SEZHUK-231007-250941,2023-10-08 20:39:00,379.1273333333333
82,SEZHUK-231007-250946,2023-10-08 20:13:00,528.0773333333333
83,SEZHUK-231007-250951,2023-10-08 20:30:00,408.17033333333336
84,SEZHUK-231007-250977,2023-10-08 11:04:00,4.558333316666666
85,SEZHUK-231008-250993,2023-10-09 17:00:00,226.59233333333336
86,SEZHUK-231008-251010,2023-10-09 20:29:00,2.896333316666667
87,SEZHUK-231008-251020,2023-10-09 18:42:00,317.11733333333336
88,SEZHUK-231008-251044,2023-10-11 12:46:00,375.17333333333335
89,SEZHUK-231008-251052,2023-10-11 08:46:00,88.96133333333334
90,SEZHUK-231008-251057,2023-10-14 11:51:00,8.185333333333334
91,SEZHUK-231008-251080,2023-10-17 11:51:00,7571.724
92,SEZHUK-231008-251088,2023-10-13 15:29:00,589.7463333333333
93,SEZHUK-231008-251137,2023-10-13 13:56:00,176.46899998333336
94,SEZHUK-231009-251163,2023-10-11 12:07:00,28.831
95,SEZHUK-231009-251170,2023-10-11 08:38:00,2.3429999833333333
96,SEZHUK-231009-251211,2023-10-11 22:09:00,274.889
97,SEZHUK-231009-251225,2023-10-12 14:01:00,175.065
98,SEZHUK-231009-251226,2023-10-12 07:02:00,25.983
99,SEZHUK-231009-251253,2023-10-20 10:59:00,14605.336
100,SEZHUK-231009-251269,2023-10-11 10:44:00,104.004
101,SEZHUK-231009-251270,2023-11-10 09:44:00,104.72899998333334
102,SEZHUK-231010-251577,2023-10-18 20:16:00,784.043
103,SEZHUK-231011-251771,2023-10-15 08:48:00,2473.333
104,SEZHUK-231011-251774,2023-10-13 15:39:00,400.568
105,SEZHUK-231011-251779,2023-10-17 10:31:00,5479.827
106,SEZHUK-231011-251780,2023-10-13 11:55:00,0.052
107,SEZHUK-231011-251821,2023-10-14 09:58:00,19.012
108,SEZHUK-231011-251891,2023-10-13 09:02:00,241.04499998333333
109,SEZHUK-231011-251902,2023-10-16 11:30:00,4673.554
110,SEZHUK-231011-252044,2023-10-13 12:06:00,86.235
111,SEZHUK-231011-252048,2023-10-16 14:06:00,4160.812
112,SEZHUK-231011-252049,2023-10-13 06:00:00,56.354
113,SEZHUK-231011-252050,2023-10-12 15:34:00,65.46533333333333
114,SEZHUK-231011-252079,2023-10-13 17:31:00,1497.9043333333332
115,SEZHUK-231012-252137,2023-10-16 13:23:00,4398.375
116,SEZHUK-231012-252460,2023-10-20 01:44:00,5664.334
117,SEZHUK-231012-252473,2023-10-20 10:50:00,10439.366
118,SEZHUK-231012-252477,2023-10-14 10:49:00,84.89200000000001
119,SEZHUK-231012-252490,2023-10-16 15:28:00,150.29199998333334
120,SEZHUK-231012-252497,2023-10-16 08:32:00,81.62999998333333
121,SEZHUK-231012-252502,2023-10-24 05:10:00,295.4199999833333
122,SEZHUK-231012-252509,2023-10-27 01:16:00,5797.574
123,SEZHUK-231012-252531,2023-10-16 19:05:00,65.625
124,SEZHUK-231012-252611,2023-10-13 19:34:00,94.49133333333332
125,SEZHUK-231012-252624,2023-10-13 12:01:00,142.61533333333333
126,SEZHUK-231012-252626,2023-10-13 16:11:00,42.11033333333333
127,SEZHUK-231013-252688,2023-10-16 16:03:00,205.22
128,SEZHUK-231013-252718,2023-10-17 09:48:00,316.12
129,SEZHUK-231013-252750,2023-10-16 19:19:00,108.147
130,SEZHUK-231013-252751,2023-10-17 21:37:00,127.222
131,SEZHUK-231013-252752,2023-10-18 22:58:00,369.815
132,SEZHUK-231013-252755,2023-10-20 20:56:00,179.124
133,SEZHUK-231013-252763,2023-10-16 13:42:00,689.612
134,SEZHUK-231013-252773,2023-10-17 19:17:00,52.025
135,SEZHUK-231013-252844,2023-10-17 15:44:00,349.339
136,SEZHUK-231013-252849,2023-10-18 11:22:00,1877.79
137,SEZHUK-231013-252852,2023-10-17 14:22:00,335.127
138,SEZHUK-231013-252863,2023-10-14 17:36:00,2.8903333166666667
139,SEZHUK-231013-252870,2023-10-14 11:34:00,166.05333331666668
140,SEZHUK-231013-252879,2023-10-14 18:13:00,16.430333333333333
141,SEZHUK-231013-252890,2023-10-14 14:43:00,130.0203333166667
142,SEZHUK-231013-252948,2023-10-17 18:10:00,568.168
143,SEZHUK-231013-252951,2023-10-15 11:09:00,69.64699999999999
144,SEZHUK-231014-253020,2023-10-31 06:33:00,5733.28
145,SEZHUK-231014-253095,2023-10-17 05:57:00,881.668
146,SEZHUK-231014-253122,2023-10-15 20:02:00,192.94333333333333
147,SEZHUK-231014-253126,2023-10-15 17:04:00,1.3023333333333331
148,SEZHUK-231014-253133,2023-10-20 15:02:00,7373.422333316667
149,SEZHUK-231014-253169,2023-10-15 19:05:00,304.6693333333333
150,SEZHUK-231015-253204,2023-10-24 13:06:00,6686.205
151,SEZHUK-231016-253270,2023-10-17 12:09:00,61.734
152,SEZHUK-231016-253279,2023-10-25 19:23:00,10727.477
153,SEZHUK-231016-253292,2023-10-18 20:14:00,0.7699999833333333
154,SEZHUK-231016-253422,2023-10-18 03:28:00,33.466
155,SEZHUK-231016-253423,2023-10-18 10:26:00,134.476
156,SEZHUK-231016-253450,2023-10-17 15:53:00,273.642
157,SEZHUK-231016-253460,2023-10-25 18:15:00,11870.279333316666
158,SEZHUK-231016-253469,2023-10-17 18:09:00,117.78133333333334
